text_processed,sentiment,label,score,text_length,word_count
osang asing osang asing lebih baik makan oseng oseng aja enak ha ha ha ha ha ha,Negatif,0,-1,84,17
lupa apa pikun,Negatif,0,-1,16,4
tempo itu sejak sidney jones itu udah jelas bgt kontem propaganda asing bocah csis jg banyak disitu institat institut krisis center forum studi agen perubahan regime change agenda nah ini gromboloannya tempo,Negatif,0,-1,211,32
inilah yang terjadi kalau segala sesuatu diselesaikan dengan cuci tangan harga diri orang digantikan dengan materi inilah bukti kalau ga semua persoalan bisa rampung dengan sogokan,Netral,1,0,183,26
cangkeme owo efisiensi tapi kelakuane borosisasi,Netral,1,0,48,6
gak ngerti maksudnya antek asing gimana bukanya presidenya yang antek asing yaa bener gak sih,Negatif,0,-4,100,14
si pikun inilah sesungguhnya antek asing omon lansia,Negatif,0,-4,55,8
intinya kalo tempo sebagai profesional jurnalisme ketika hanya memberitakan narasi yang mengkritik pemerintah tetapi tidak pernah cover both side memberitakan narasi kebijakan yang bagus dr pemerintah disini ditangaapi oleh nara sumbernya kenapa mereka ga d didatangi atau di kasih data terkesan tempo hanya memberitakan hanya ketika ada yang support bayar everything just pure business belum tentu sebuah objektif produk profesionl jurnalisme yang di beritakan tempo spt organisasi lainnya hanyalah tempat orang mencari makan,Positif,2,1,546,73
situasi skrng berbeda jika tidak bermain politik external negara posisi indonesia dalam zona merah apakah kita siap untuk di serang negara lain,Netral,1,0,150,23
boleh gak saya sebagai petani cabai millenial menganggap pemerintah khususnya mentri pertanian sebagai musuh bersama petani cabai ketika harga cabai sedikit naik langsung melakukan intervensi pasar namun harga obat dna pupuk yang melambung tinggi tidak pernah di intervensi harganya,Netral,1,0,291,39
lah prabowo brp kali k negara asing trs ujung x nyumbang trilyun k negara asing,Negatif,0,-2,90,16
lah iya media yg punyanya george soros siapa ya warga indonesia jgn mau dihasutt,Negatif,0,-1,85,14
siap membubarkan indonesia,Netral,1,0,34,5
maklum wapres kita memahami akan ketidak pahamannya,Netral,1,0,51,7
yang jelas antek asing itu bukan rakyat dia yg koar tapi dia jugalah yg patut di curigai,Negatif,0,-1,96,15
antek asing kekayaan alam negara di depan mata itu udah dikuasai asing anteknya lha itu disekeliling mu justru masyarakat yg butuh uu untuk membersihkan pejabat pemerintah dari kepentingan asing yg merusak alam dan tatanan hidup masyarakat dan menurut keyakinan saya justru pejabatnya yg ngajarin asing untuk bisa main di indonesia,Negatif,0,-7,343,50
sekarang dia gabung sm pembantai penhjshat sisetanyshu dan donal bebekl,Netral,1,0,72,10
antek asing antek asing hooy ada antek asing itu propaganda siapa sih sepertinya sering disuarakan orang yg takut sama pemimpin asing saat ketemu langsung sampai sedih sebagai anak bangsa dengar nya saat dia manggil presiden lain dengan kata sir huh banyak omon kamu,Negatif,0,-7,280,38
sepakat antek asing itu adalah musuh bersama tapi membuat undang undang penanggulangan anter asing itu tidak perlu kali sebab itu bisa dipakai oleh siapa yg berkuasa untuk membungkam kebebasan berbicara dan berpendapat yg ujungnya membunuh demokrasi itu sendiri biarkan informasi itu berkembang bebas kan pemerintah ada intelijen untuk menanggulangi adanya pergerakan antek asing itu yg terpenting itu pemerintah menjalankan aturan yang berlaku dan menempatkan hukum sebagai panglima tertinggi dlm bernegara dan itu bisa dipastikan rakyat akan mendukung dan hidup damai walau masih hidup dlm kekurangan,Negatif,0,-4,612,84
propaganda itu dilakukan oleh negara asing menerut hemat saya upaya untuk menghadirkan undang itu perlu untuk menghadapi mereka tentunya undang itu untuk konter propaganda asing,Negatif,0,-4,181,25
video negara lain tgl januari di hambalang itu georgia moldova yg masih besar pengaruh campur tangan rezim rusia yg otoriter menghambat negara di eropa timur bergabung ke eu,Negatif,0,-1,180,26
