tanggal_baca,id,clean_author,clean_text,score,sentiment
2026-02-01 00:37:00,UgwJBQoqBYOUx9eXiXl4AaABAg,@okkymahardika4502,Osang Asing Osang Asing. Lebih Baik Makan Oseng-Oseng Aja. Enak. 😁 Ha Ha Ha Ha Ha Ha,-1,Negatif
2026-02-01 00:36:00,Ugx7cZ0WLmkm4MDSRL54AaABAg,@okkymahardika4502,Lupa Apa Pikun ?,-1,Negatif
2026-02-01 00:28:00,UgyuCla61YcmH2KIFmN4AaABAg,@okkymahardika4502,YO,0,Netral
2026-02-01 00:00:00,Ugw3wcI-_lbARyc6uyt4AaABAg,@gregtriplex5878,Tempo itu sejak sidney jones itu udah jelas bgt kontem propaganda asing. bocah CSIS jg banyak disitu. institat institut krisis center. forum studi agen perubahan regime change agenda. nah ini gromboloannya tempo,-1,Negatif
2026-01-31 22:00:00,Ugzc9xNck1ZsmbC7l6h4AaABAg,@taufan322,Inilah yang terjadi kalau segala sesuatu diselesaikan dengan cuci tangan. Harga diri orang digantikan dengan materi. Inilah bukti kalau ga semua persoalan bisa rampung dengan sogokan.,0,Netral
2026-01-31 18:00:00,UgwgtlWzYRkgyuvfKBx4AaABAg,@Darwis7194,Cangkeme owo efisiensi tapi kelakuane borosisasi,0,Netral
2026-01-31 15:00:00,UgziyKTliaHyzQLJ4a14AaABAg,@CarcieNewbie,"gak ngerti maksudnya antek asing gimana..
bukanya presidenya yang antek asing yaa???bener gak sih???",-4,Negatif
2026-01-31 13:00:00,Ugzps09iwRHI8moYp-B4AaABAg,@omon2gemoy,"Si pikun inilah sesungguhnya antek2 asing, omon2 lansia",-4,Negatif
2026-01-31 13:00:00,UgyYU9mQBxfUr6e8_614AaABAg,@seansh8485,"Intinya kalo tempo sebagai profesional jurnalisme, ketika hanya memberitakan narasi yang mengkritik pemerintah, tetapi tidak pernah cover both side memberitakan narasi kebijakan yang bagus dr pemerintah (disini ditangaapi oleh nara sumbernya, ,kenapa mereka ga d(didatangi) atau di kasih data.  terkesan tempo hanya memberitakan hanya ketika ada yang support (bayar?) , everything just pure business belum tentu sebuah objektif produk profesionl jurnalisme yang di beritakan... tempo spt organisasi lainnya, hanyalah tempat orang mencari makan...",1,Positif
2026-01-31 13:00:00,Ugxal1_snTH9Ih6eSyJ4AaABAg,@rizkiaw1629,"situasi skrng berbeda, jika tidak bermain politik external negara, posisi indonesia dalam zona merah, apakah kita siap untuk di serang negara lain ...",0,Netral
2026-01-31 11:00:00,UgwMCkka0IH4lHUFced4AaABAg,@fadlikurniawan5122,Boleh gak saya sebagai petani (cabai) millenial menganggap Pemerintah (khususnya Mentri Pertanian) sebagai musuh bersama petani Cabai... Ketika harga cabai sedikit naik langsung melakukan intervensi pasar namun harga2 obat2 dna pupuk yang melambung tinggi tidak pernah di intervensi harganya,0,Netral
2026-01-31 11:00:00,Ugyv8zSSabXL2mLg3I14AaABAg,@ahmadhartono4246,"Lah Prabowo brp kali k Negara Asing, trs ujung2x NYUMBANG 17 Trilyun k Negara Asing  ?????",-2,Negatif
2026-01-31 11:00:00,UgxnyPKN0l8czP6jg6B4AaABAg,@TheDragonian,lah iya media yg punyanya George Soros siapa ya????? warga Indonesia jgn mau dihasutt,-1,Negatif
2026-01-31 08:00:00,UgxrQ7YMidXWCMTr1VZ4AaABAg,@nurmansantosa8549,2030 siap membubarkan indonesia 😂😂,0,Netral
2026-01-31 08:00:00,Ugx3_fl7sWVq83stsKB4AaABAg,@nurmansantosa8549,maklum wapres kita memahami akan ketidak pahamannya,0,Netral
2026-01-31 08:00:00,Ugx9ARrha-LALdrjIIF4AaABAg,@MienManik,Yang jelas..ANTEK ASING itu..bukan Rakyat..Dia yg Koar2.. tapi dia jugalah yg patut di curigai .,-1,Negatif
2026-01-31 04:00:00,UgyumBPGTp9ZLIueGol4AaABAg,@teguhpratikto3315,"Antek asing?😅 kekayaan alam negara di depan mata itu udah dikuasai asing😅... anteknya? Lha itu disekeliling mu. Justru masyarakat yg butuh UU untuk membersihkan pejabat pemerintah dari kepentingan asing yg merusak alam dan tatanan hidup masyarakat. Dan menurut keyakinan saya justru pejabatnya yg ngajarin asing untuk bisa ""main"" di indonesia😁",-7,Negatif
